,0
639,4517864978
640,4516521323
641,4516382747
642,4516227655
643,4516245082
644,4515765637
645,4515730919
646,4513693460
647,4497667434
648,4497690544
649,4497625384
650,4497650875
651,4494068182
652,4494042080
653,4493944893
654,4493913358
655,4490668891
656,4490630167
657,4490552760
658,4490494827
659,4488075617
660,4487959909
661,4487933467
662,4487826531
663,4485590283
664,4485512463
665,4485349979
666,4483449114
667,4483436805
668,4482194118
669,4481310661
670,4481147773
671,4480432781
672,4480344862
673,4480266094
674,4480230520
675,4470236766
676,4470260728
677,4470123615
678,4470038036
679,4470063596
680,4464491453
681,4464336380
682,4464322135
683,4457523364
684,4457400732
685,4457205855
686,4455299975
687,4455177780
688,4455164064
689,4455170573
690,4453447981
691,4453424895
692,4448835506
693,4448589526
694,4448585039
695,4444023819
696,4443965143
697,4443838204
698,4443788352
699,4440971259
700,4564545115
701,4564439392
702,4564383062
703,4564390801
704,4563882903
705,4563638433
706,4562850415
707,4562298598
708,4562218880
709,4562119353
710,4561054754
711,4561040805
712,4560911040
713,4560830194
714,4559924362
715,4559768522
716,4559831941
717,4559736111
718,4559662581
719,4559483347
720,4559407079
721,4559370651
722,4557639847
723,4557584152
724,4557485212
725,4557379643
726,4557394010
727,4557188766
728,4557232593
729,4557069474
730,4557105035
731,4556989810
732,4556994290
733,4556658095
734,4556508807
735,4556501168
736,4556458514
737,4554564477
738,4554559252
739,4554535098
740,4554531870
741,4550035241
742,4549893343
743,4549626732
744,4547135262
745,4547121577
746,4547056688
747,4546973348
748,4546787164
749,4546871779
750,4527118322
751,4527112129
752,4524912551
753,4524819362
754,4524807361
755,4524825346
756,4523225603
757,4521008135
758,4521043303
759,4520974002
760,4519309666
761,4519354642
762,4517478430
763,4517394582
764,4517158377
765,4517052747
766,4516970993
767,4516877021
768,4516137503
769,4516090285
770,4515444534
771,4514965716
772,4514960933
773,4514914909
774,4514190155
775,4514013334
776,4513877501
777,4513179143
778,4513233989
779,4513067144
780,4509557659
781,4509476143
782,4507808588
783,4506080156
784,4504411367
785,4504332983
786,4504176418
787,4503838982
788,4502675933
789,4502487216
790,4502209142
791,4502242745
792,4500954881
793,4500954007
794,4499359232
795,4499333994
796,4499209907
797,4499215744
798,4497492532
799,4497369894
800,4566529158
801,4566446351
802,4566452370
803,4566267354
804,4566310246
805,4566174722
806,4566126049
807,4565988288
808,4565990084
809,4565951371
810,4565669038
811,4564997449
812,4564050486
813,4563653317
814,4563521549
815,4563250913
816,4563039471
817,4560996802
818,4560963007
819,4560937148
820,4560930321
821,4560765519
822,4560717756
823,4560445529
824,4560356837
825,4560320119
826,4558018474
827,4558014755
828,4557924144
829,4552491366
830,4552355975
831,4552270804
832,4551126714
833,4550969039
834,4549170084
835,4549122468
836,4548966987
837,4549043683
838,4548945736
839,4548920018
840,4548718934
841,4547120490
842,4546966925
843,4546389923
844,4542212394
845,4542170889
846,4542066963
847,4542094308
848,4541795504
849,4541708462
850,4541421058
851,4541295276
852,4540898939
853,4540950451
854,4540774852
855,4534611317
856,4534486166
857,4534552059
858,4534448138
859,4534417152
860,4534364281
861,4532429281
862,4532451181
863,4532261990
864,4531065567
865,4531054679
866,4530951843
867,4530762255
868,4530674056
869,4507351967
870,4507188712
